year,week,file
2012,51,ipgb20121218_wk51.zip
2012,52,ipgb20121225_wk52.zip
2013,1,ipgb20130101_wk01.zip
2013,2,ipgb20130108_wk02.zip
2013,3,ipgb20130115_wk03.zip
2013,4,ipgb20130122_wk04.zip
2013,5,ipgb20130129_wk05.zip
2013,6,ipgb20130205_wk06.zip
2013,7,ipgb20130212_wk07.zip
2013,8,ipgb20130219_wk08.zip
2013,9,ipgb20130226_wk09.zip
2013,10,ipgb20130305_wk10.zip
2013,11,ipgb20130312_wk11.zip
2013,12,ipgb20130319_wk12.zip
2013,13,ipgb20130326_wk13.zip
2013,14,ipgb20130402_wk14.zip
2013,15,ipgb20130409_wk15.zip
2013,16,ipgb20130416_wk16.zip
2013,17,ipgb20130423_wk17.zip
2013,18,ipgb20130430_wk18.zip
2013,19,ipgb20130507_wk19.zip
2013,20,ipgb20130514_wk20.zip
2013,21,ipgb20130521_wk21.zip
2013,22,ipgb20130528_wk22.zip
2013,23,ipgb20130604_wk23.zip
2013,24,ipgb20130611_wk24.zip
2013,25,ipgb20130618_wk25.zip
2013,26,ipgb20130625_wk26.zip
2013,27,ipgb20130702_wk27.zip
2013,28,ipgb20130709_wk28.zip
2013,29,ipgb20130716_wk29.zip
2013,30,ipgb20130723_wk30.zip
2013,31,ipgb20130730_wk31.zip
2013,32,ipgb20130806_wk32.zip
2013,33,ipgb20130813_wk33.zip
2013,34,ipgb20130820_wk34.zip
2013,35,ipgb20130827_wk35.zip
2013,36,ipgb20130903_wk36.zip
2013,37,ipgb20130910_wk37.zip
2013,38,ipgb20130917_wk38.zip
2013,39,ipgb20130924_wk39.zip
2013,40,ipgb20131001_wk40.zip
2013,41,ipgb20131008_wk41.zip
2013,42,ipgb20131015_wk42.zip
2013,43,ipgb20131022_wk43.zip
2013,44,ipgb20131029_wk44.zip
2013,45,ipgb20131105_wk45.zip
2013,46,ipgb20131112_wk46.zip
2013,47,ipgb20131119_wk47.zip
2013,48,ipgb20131126_wk48.zip
2013,49,ipgb20131203_wk49.zip
2013,50,ipgb20131210_wk50.zip
2013,51,ipgb20131217_wk51.zip
2013,52,ipgb20131224_wk52.zip
2013,53,ipgb20131231_wk53.zip
2014,1,ipgb20140107_wk01.zip
2014,2,ipgb20140114_wk02.zip
2014,3,ipgb20140121_wk03.zip
2014,4,ipgb20140128_wk04.zip
2014,5,ipgb20140204_wk05.zip
2014,6,ipgb20140211_wk06.zip
2014,7,ipgb20140218_wk07.zip
2014,8,ipgb20140225_wk08.zip
2014,9,ipgb20140304_wk09.zip
2014,10,ipgb20140311_wk10.zip
2014,11,ipgb20140318_wk11.zip
2014,12,ipgb20140325_wk12.zip
2014,13,ipgb20140401_wk13.zip
2014,14,ipgb20140408_wk14.zip
2014,15,ipgb20140415_wk15.zip
2014,16,ipgb20140422_wk16.zip
2014,17,ipgb20140429_wk17.zip
2014,18,ipgb20140506_wk18.zip
2014,19,ipgb20140513_wk19.zip
2014,20,ipgb20140520_wk20.zip
2014,21,ipgb20140527_wk21.zip
2014,22,ipgb20140603_wk22.zip
2014,23,ipgb20140610_wk23.zip
2014,24,ipgb20140617_wk24.zip
2014,25,ipgb20140624_wk25.zip
2014,26,ipgb20140701_wk26.zip
2014,27,ipgb20140708_wk27.zip
2014,28,ipgb20140715_wk28.zip
2014,29,ipgb20140722_wk29.zip
2014,30,ipgb20140729_wk30.zip
2014,31,ipgb20140805_wk31.zip
2014,32,ipgb20140812_wk32.zip
2014,33,ipgb20140819_wk33.zip
2014,34,ipgb20140826_wk34.zip
2014,35,ipgb20140902_wk35.zip
2014,36,ipgb20140909_wk36.zip
2014,37,ipgb20140916_wk37.zip
2014,38,ipgb20140923_wk38.zip
2014,39,ipgb20140930_wk39.zip
2014,40,ipgb20141007_wk40.zip
2014,41,ipgb20141014_wk41.zip
2014,42,ipgb20141021_wk42.zip
2014,43,ipgb20141028_wk43.zip
2014,44,ipgb20141104_wk44.zip
2014,45,ipgb20141111_wk45.zip
2014,46,ipgb20141118_wk46.zip
2014,47,ipgb20141125_wk47.zip
2014,48,ipgb20141202_wk48.zip
2014,49,ipgb20141209_wk49.zip
2014,50,ipgb20141216_wk50.zip
2014,51,ipgb20141223_wk51.zip
2014,52,ipgb20141230_wk52.zip
2015,1,ipgb20150106_wk01.zip
2015,2,ipgb20150113_wk02.zip
2015,3,ipgb20150120_wk03.zip
2015,4,ipgb20150127_wk04.zip
2015,5,ipgb20150203_wk05.zip
2015,6,ipgb20150210_wk06.zip
2015,7,ipgb20150217_wk07.zip
2015,8,ipgb20150224_wk08.zip
2015,9,ipgb20150303_wk09.zip
2015,10,ipgb20150310_wk10.zip
2015,11,ipgb20150317_wk11.zip
2015,12,ipgb20150324_wk12.zip
2015,13,ipgb20150331_wk13.zip
