year,week,file,name
2008,11,ipgb20080311_wk11.zip,ipgb20080311.xml
2008,12,ipgb20080318_wk12.zip,ipgb20080318.xml
2008,13,ipgb20080325_wk13.zip,ipgb20080325.xml
2008,14,ipgb20080401_wk14.zip,ipgb20080401.xml
2008,15,ipgb20080408_wk15.zip,ipgb20080408.xml
2008,16,ipgb20080415_wk16.zip,ipgb20080415.xml
2008,17,ipgb20080422_wk17.zip,ipgb20080422.xml
2008,18,ipgb20080429_wk18.zip,ipgb20080429.xml
2008,19,ipgb20080506_wk19.zip,ipgb20080506.xml
2008,20,ipgb20080513_wk20.zip,ipgb20080513.xml
2008,21,ipgb20080520_wk21.zip,ipgb20080520.xml
2008,22,ipgb20080527_wk22.zip,ipgb20080527.xml
2008,23,ipgb20080603_wk23.zip,ipgb20080603.xml
2008,24,ipgb20080610_wk24.zip,ipgb20080610.xml
2008,25,ipgb20080617_wk25.zip,ipgb20080617.xml
2008,26,ipgb20080624_wk26.zip,ipgb20080624.xml
2008,27,ipgb20080701_wk27.zip,ipgb20080701.xml
2008,28,ipgb20080708_wk28.zip,ipgb20080708.xml
2008,29,ipgb20080715_wk29.zip,ipgb20080715.xml
2008,30,ipgb20080722_wk30.zip,ipgb20080722.xml
2008,31,ipgb20080729_wk31.zip,ipgb20080729.xml
2008,32,ipgb20080805_wk32.zip,ipgb20080805.xml
2008,33,ipgb20080812_wk33.zip,ipgb20080812.xml
2008,34,ipgb20080819_wk34.zip,ipgb20080819.xml
2008,35,ipgb20080826_wk35.zip,ipgb20080826.xml
2008,36,ipgb20080902_wk36.zip,ipgb20080902.xml
2008,37,ipgb20080909_wk37.zip,ipgb20080909.xml
2008,38,ipgb20080916_wk38.zip,ipgb20080916.xml
2008,39,ipgb20080923_wk39.zip,ipgb20080923.xml
2008,40,ipgb20080930_wk40.zip,ipgb20080930.xml
2008,41,ipgb20081007_wk41.zip,ipgb20081007.xml
2008,42,ipgb20081014_wk42.zip,ipgb20081014.xml
